Price (TL),Product Name,Ranking,Comment Count
"
4.999
","
LENOVO IDEAPAD 3 CORE İ3 1005G1 1.2GHZ-8GB-256GB SSD-15.6""-INT-W10
","
80
","
(25)
"
"
5.999
","
LENOVO IDEAPAD 3 CORE İ5 1035G4 1.1GHZ-8GB-256GB SSD-15.6""-INT-W10
","
80
","
(19)
"
"
13.885
","
VICTUS BY HP 16-E0015NT RYZEN 7 5800H 3.2GHZ-16GB-1TBSSD-16.1''RTX3050TI 4GB-W10
","
10
","
(1)
"
"
14.393
","
ASUS ZENBOOK 14 UX425 CORE İ7 1165G7 2.8GHZ-16GB RAM-1TB SSD-14""-INT-W10
","
0
","
(0)
"
"
18.125
","
ASUS ZENBOOK 15 UX535 CORE İ7 10870H 2.2GHZ-16GB-1TB SSD-15.6""-GTX1650 4GB-W10
","
0
","
(0)
"
"
11.339
","
ASUS TUF GAMING F15 CORE İ5 11400H 2.2GHZ-8GB-512GB SSD-15.6""-RTX3050 4GB-W10
","
0
","
(0)
"
"
39.893
","
MSI GE76 RAIDER CORE İ7 10870H 2.2GHZ-32GB-2TB SSD-17.3''-RTX3080 16GB-W10
","
0
","
(0)
"
"
9.367
","
ASUS TUF GAMING 15 CORE İ5 10300H 2.5GHZ-8GB-1TB SSD-15.6""-GTX1650 4GB-W10
","
10
","
(1)
"
"
7.056
","
ACER ASPIRE 5 AMD RYZEN 5 4500U 2.3GHZ-16GB-512GB SSD-15.6""-AMD-W10
","
10
","
(2)
"
"
12.299
","
HP PAVILION 15-DK1038NT CORE İ7 10750H 2.6GHZ-16GB-1TB+256-15.6""GTX1650TI4GB-W10
","
10
","
(4)
"
"
9.900
","
DELL G3 15 CORE İ5 10300H 2.5GHZ-8GB RAM-1TB+256GB SSD-GTX1650 4GB-15.6""W10
","
10
","
(3)
"
"
16.764
","
ACER PREDATOR CORE İ7 10750H 2.6GHZ-16GB-1TB SSD-15.6""-RTX 2070 8GB-W10
","
10
","
(4)
"
"
21.358
","
MSI STEALTH 15M CORE İ7 11375H 3.0GHZ-16GB-1TB SSD-15.6''-RTX3060 6GB-W10
","
10
","
(2)
"
"
6.261
","
ASUS X515JF CORE İ5 1035G1 1.0GHZ-4GB RAM-256GB SSD-15.6""-MX130 2GB-W10
","
80
","
(12)
"
"
6.999
","
HP PAVILION 15-EH0012NT AMD RYZEN 5 4500U 2.3GHZ-8GB-256GB SSD-15.6""-AMD-W10
","
80
","
(9)
"
"
13.699
","
MACBOOK AIR MGNA3TU/A M1 8GB-512GBSSD-RETİNA-13.3""-INT-SILVER
","
0
","
(0)
"
"
13.699
","
MACBOOK AIR MGN73TU/A M1 8GB-512GBSSD-RETİNA-13.3""-INT-SPACE GREY
","
80
","
(48)
"
"
13.552
","
DELL INSPIRON 15 CORE İ7 10750H 2.6GHZ-16GB-512GB SSD-GTX1650 4GB-15.6""W10PRO
","
0
","
(0)
"
"
12.999
","
LENOVO IP GAMING 3 CORE İ7 10750H 2.6GHZ-16GB-1TB+256SSD-15.6""-GTX1650TI 4GB-W10
","
80
","
(12)
"
"
3.199
","
LENOVO IDEAPAD 3 CELERON N4020 1.1GHZ-4GBRAM-128GB SSD-15.6""-INT-W10
","
0
","
(0)
"
"
8.299
","
HUAWEI MATEBOOK 14 AMD RYZEN 5 4600H 3.0GHZ-8GB-512GB SSD-14""-AMD-W10
","
0
","
(0)
"
"
15.087
","
ASUS ROG ZEPHYRUS G14 AMD R7 5800HS 2.8GHZ-16GB-512GBSSD-14''-RTX3050 4GB-W10
","
10
","
(1)
"
"
25.164
","
MSI PULSE GL76 CORE İ7 11800H 2.3GHZ-32GB-1TB SSD-17.3''-RTX3060 6GB-W10
 ","
80
","
(5)
"
